,participant_id,Q1_province,Q1a_urban_rural,Q2_canadian_tenure,Q3_generation,Q5_identity_connection,Q11_tagline_text_combined,cleaned_text_tagline,main_topic_tagline,main_topic_label_tagline,main_topic_keywords_tagline,main_sentiment_tagline,main_topics_tagline,main_topic_keywords_tagline_list,count_tagline
9,f996f79b-8558-4575-ab32-59b4bb2cd869,Ontario,Urban (big city or downtown area),20+ years,Boomer (born ~1946–1964),Very connected,A country with great beginnings that is now trying to destroy itself.,country great beginning trying destroy,42,Destroy & Defeated & Often & Oppose,"destroy, defeated, often, oppose",POSITIVE,Miscellaneous / Other, defeated,1
9,f996f79b-8558-4575-ab32-59b4bb2cd869,Ontario,Urban (big city or downtown area),20+ years,Boomer (born ~1946–1964),Very connected,A country with great beginnings that is now trying to destroy itself.,country great beginning trying destroy,42,Destroy & Defeated & Often & Oppose,"destroy, defeated, often, oppose",POSITIVE,Miscellaneous / Other, often,1
9,f996f79b-8558-4575-ab32-59b4bb2cd869,Ontario,Urban (big city or downtown area),20+ years,Boomer (born ~1946–1964),Very connected,A country with great beginnings that is now trying to destroy itself.,country great beginning trying destroy,42,Destroy & Defeated & Often & Oppose,"destroy, defeated, often, oppose",POSITIVE,Miscellaneous / Other, oppose,1
10,27ad9e7e-628d-4adc-b41b-192d761add27,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,I don’t have an answer for this.,dont answer,9,Dont & Answer & Tough & Hard,"dont, answer, tough, hard",NEUTRAL,Miscellaneous / Other,dont,1
10,27ad9e7e-628d-4adc-b41b-192d761add27,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,I don’t have an answer for this.,dont answer,9,Dont & Answer & Tough & Hard,"dont, answer, tough, hard",NEUTRAL,Miscellaneous / Other, answer,1
10,27ad9e7e-628d-4adc-b41b-192d761add27,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,I don’t have an answer for this.,dont answer,9,Dont & Answer & Tough & Hard,"dont, answer, tough, hard",NEUTRAL,Miscellaneous / Other, tough,1
10,27ad9e7e-628d-4adc-b41b-192d761add27,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Very connected,I don’t have an answer for this.,dont answer,9,Dont & Answer & Tough & Hard,"dont, answer, tough, hard",NEUTRAL,Miscellaneous / Other, hard,1
11,ab54fa36-7023-4094-a9bc-ab09ef82da34,New Brunswick,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),A little connected,Didn't,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other,de,1
11,ab54fa36-7023-4094-a9bc-ab09ef82da34,New Brunswick,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),A little connected,Didn't,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, surprise,1
11,ab54fa36-7023-4094-a9bc-ab09ef82da34,New Brunswick,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),A little connected,Didn't,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, still,1
11,ab54fa36-7023-4094-a9bc-ab09ef82da34,New Brunswick,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),A little connected,Didn't,,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, even,1
12,ae3548f7-e77f-4402-955e-438d716d0adb,British Columbia,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,"A place where all are welcome
",place welcome,25,Place & Grow & Earth & Live,"place, grow, earth, live",POSITIVE,Miscellaneous / Other,place,1
12,ae3548f7-e77f-4402-955e-438d716d0adb,British Columbia,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,"A place where all are welcome
",place welcome,25,Place & Grow & Earth & Live,"place, grow, earth, live",POSITIVE,Growth & Prosperity, grow,1
12,ae3548f7-e77f-4402-955e-438d716d0adb,British Columbia,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,"A place where all are welcome
",place welcome,25,Place & Grow & Earth & Live,"place, grow, earth, live",POSITIVE,Environmental Concerns, earth,1
12,ae3548f7-e77f-4402-955e-438d716d0adb,British Columbia,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,"A place where all are welcome
",place welcome,25,Place & Grow & Earth & Live,"place, grow, earth, live",POSITIVE,Miscellaneous / Other, live,1
13,17fce6ab-e2c3-4af3-887b-fe824ae6ce80,British Columbia,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,The happiest place on earth.,happiest place earth,25,Place & Grow & Earth & Live,"place, grow, earth, live",NEUTRAL,Miscellaneous / Other,place,1
13,17fce6ab-e2c3-4af3-887b-fe824ae6ce80,British Columbia,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,The happiest place on earth.,happiest place earth,25,Place & Grow & Earth & Live,"place, grow, earth, live",NEUTRAL,Growth & Prosperity, grow,1
13,17fce6ab-e2c3-4af3-887b-fe824ae6ce80,British Columbia,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,The happiest place on earth.,happiest place earth,25,Place & Grow & Earth & Live,"place, grow, earth, live",NEUTRAL,Environmental Concerns, earth,1
13,17fce6ab-e2c3-4af3-887b-fe824ae6ce80,British Columbia,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,The happiest place on earth.,happiest place earth,25,Place & Grow & Earth & Live,"place, grow, earth, live",NEUTRAL,Miscellaneous / Other, live,1
14,97bd215c-f766-4c3c-b4c0-df75bbfbc4c5,British Columbia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,"We keep trying to do our best, even when we fall short.",keep trying best even fall short,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity,nation,1
14,97bd215c-f766-4c3c-b4c0-df75bbfbc4c5,British Columbia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,"We keep trying to do our best, even when we fall short.",keep trying best even fall short,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity, country,1
14,97bd215c-f766-4c3c-b4c0-df75bbfbc4c5,British Columbia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,"We keep trying to do our best, even when we fall short.",keep trying best even fall short,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, culture,1
14,97bd215c-f766-4c3c-b4c0-df75bbfbc4c5,British Columbia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,"We keep trying to do our best, even when we fall short.",keep trying best even fall short,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, resource,1
15,d10fc2a7-b5b9-4643-8beb-2e3ca8d49b76,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Strong and Free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other,free,1
15,d10fc2a7-b5b9-4643-8beb-2e3ca8d49b76,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Strong and Free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, strong,1
15,d10fc2a7-b5b9-4643-8beb-2e3ca8d49b76,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Strong and Free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, contribute,1
15,d10fc2a7-b5b9-4643-8beb-2e3ca8d49b76,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Strong and Free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, multitude,1
16,d3554859-d9f4-4e2d-859e-41d154d9d8fe,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,One of the greatest countries to live in.,one greatest country live,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other,best,1
16,d3554859-d9f4-4e2d-859e-41d154d9d8fe,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,One of the greatest countries to live in.,one greatest country live,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other, world,1
16,d3554859-d9f4-4e2d-859e-41d154d9d8fe,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,One of the greatest countries to live in.,one greatest country live,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other, live,1
16,d3554859-d9f4-4e2d-859e-41d154d9d8fe,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,One of the greatest countries to live in.,one greatest country live,12,Best & World & Live & Greatest,"best, world, live, greatest",POSITIVE,Miscellaneous / Other, greatest,1
17,2df9b05a-991c-4d1a-b0a2-f5476c93accd,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Made with international parts,made international part,22,Country & Identity & Origin & Consistently,"country, identity, origin, consistently",NEUTRAL,Canada & National Identity,country,1
17,2df9b05a-991c-4d1a-b0a2-f5476c93accd,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Made with international parts,made international part,22,Country & Identity & Origin & Consistently,"country, identity, origin, consistently",NEUTRAL,Identity & Cultural Pride, identity,1
17,2df9b05a-991c-4d1a-b0a2-f5476c93accd,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Made with international parts,made international part,22,Country & Identity & Origin & Consistently,"country, identity, origin, consistently",NEUTRAL,Miscellaneous / Other, origin,1
17,2df9b05a-991c-4d1a-b0a2-f5476c93accd,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Made with international parts,made international part,22,Country & Identity & Origin & Consistently,"country, identity, origin, consistently",NEUTRAL,Miscellaneous / Other, consistently,1
18,17f08008-3be7-44b1-98bb-e3d82ba301d8,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Opportunity,opportunity,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Miscellaneous / Other,opportunity,1
18,17f08008-3be7-44b1-98bb-e3d82ba301d8,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Opportunity,opportunity,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Growth & Prosperity, success,1
18,17f08008-3be7-44b1-98bb-e3d82ba301d8,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Opportunity,opportunity,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Miscellaneous / Other, succeed,1
18,17f08008-3be7-44b1-98bb-e3d82ba301d8,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Opportunity,opportunity,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Growth & Prosperity, accomplishment,1
19,a10362ce-af1e-4c8f-87ae-f7079ac5a466,British Columbia,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Don't screw it up this time.,dont screw time,17,Change & Late & Time & Alongside,"change, late, time, alongside",NEUTRAL,Change & Progress,change,1
19,a10362ce-af1e-4c8f-87ae-f7079ac5a466,British Columbia,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Don't screw it up this time.,dont screw time,17,Change & Late & Time & Alongside,"change, late, time, alongside",NEUTRAL,Miscellaneous / Other, late,1
19,a10362ce-af1e-4c8f-87ae-f7079ac5a466,British Columbia,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Don't screw it up this time.,dont screw time,17,Change & Late & Time & Alongside,"change, late, time, alongside",NEUTRAL,Miscellaneous / Other, time,1
19,a10362ce-af1e-4c8f-87ae-f7079ac5a466,British Columbia,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Don't screw it up this time.,dont screw time,17,Change & Late & Time & Alongside,"change, late, time, alongside",NEUTRAL,Miscellaneous / Other, alongside,1
20,af1f4c1f-a1b2-43cf-885a-5409c97d7f8b,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,True north strong and free,true north strong free,5,North & True & Strong & Free,"north, true, strong, free",POSITIVE,Miscellaneous / Other,north,1
20,af1f4c1f-a1b2-43cf-885a-5409c97d7f8b,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,True north strong and free,true north strong free,5,North & True & Strong & Free,"north, true, strong, free",POSITIVE,Miscellaneous / Other, true,1
20,af1f4c1f-a1b2-43cf-885a-5409c97d7f8b,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,True north strong and free,true north strong free,5,North & True & Strong & Free,"north, true, strong, free",POSITIVE,Miscellaneous / Other, strong,1
20,af1f4c1f-a1b2-43cf-885a-5409c97d7f8b,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,True north strong and free,true north strong free,5,North & True & Strong & Free,"north, true, strong, free",POSITIVE,Miscellaneous / Other, free,1
21,59eee013-b4b0-4738-8139-2b8381f065b4,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Somewhat connected,"We've had successes and we've had failures, but we are always trying. ",success failure always trying,26,Beginning & Failure & Start & New,"beginning, failure, start, new",NEUTRAL,Miscellaneous / Other,beginning,1
21,59eee013-b4b0-4738-8139-2b8381f065b4,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Somewhat connected,"We've had successes and we've had failures, but we are always trying. ",success failure always trying,26,Beginning & Failure & Start & New,"beginning, failure, start, new",NEUTRAL,Failure & Mistakes, failure,1
21,59eee013-b4b0-4738-8139-2b8381f065b4,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Somewhat connected,"We've had successes and we've had failures, but we are always trying. ",success failure always trying,26,Beginning & Failure & Start & New,"beginning, failure, start, new",NEUTRAL,Miscellaneous / Other, start,1
21,59eee013-b4b0-4738-8139-2b8381f065b4,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Somewhat connected,"We've had successes and we've had failures, but we are always trying. ",success failure always trying,26,Beginning & Failure & Start & New,"beginning, failure, start, new",NEUTRAL,Miscellaneous / Other, new,1
22,60c62705-50f3-49d7-8794-6e195e40148a,Quebec,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Please read the first version first.,please read first version,26,Beginning & Failure & Start & New,"beginning, failure, start, new",POSITIVE,Miscellaneous / Other,beginning,1
22,60c62705-50f3-49d7-8794-6e195e40148a,Quebec,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Please read the first version first.,please read first version,26,Beginning & Failure & Start & New,"beginning, failure, start, new",POSITIVE,Failure & Mistakes, failure,1
22,60c62705-50f3-49d7-8794-6e195e40148a,Quebec,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Please read the first version first.,please read first version,26,Beginning & Failure & Start & New,"beginning, failure, start, new",POSITIVE,Miscellaneous / Other, start,1
22,60c62705-50f3-49d7-8794-6e195e40148a,Quebec,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Please read the first version first.,please read first version,26,Beginning & Failure & Start & New,"beginning, failure, start, new",POSITIVE,Miscellaneous / Other, new,1
23,ed326e23-d6e0-409d-9314-2ad39cd7fd6e,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Not at all connected,Why would canadas backstory be rewritten?,would canada backstory rewritten,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Canada & National Identity,canada,1
23,ed326e23-d6e0-409d-9314-2ad39cd7fd6e,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Not at all connected,Why would canadas backstory be rewritten?,would canada backstory rewritten,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Canada & National Identity, canadian,1
23,ed326e23-d6e0-409d-9314-2ad39cd7fd6e,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Not at all connected,Why would canadas backstory be rewritten?,would canada backstory rewritten,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Miscellaneous / Other, wa,1
23,ed326e23-d6e0-409d-9314-2ad39cd7fd6e,Alberta,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Not at all connected,Why would canadas backstory be rewritten?,would canada backstory rewritten,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Miscellaneous / Other, value,1
24,f04ba788-1d23-4eb9-aa9a-c2732d92172e,Ontario,"Rural (small town, village, or countryside)",All my life,Gen X (born ~1965–1980),Not at all connected,Canada died April 30th 2025,canada died april th,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Canada & National Identity,canada,1
